encabezado,clase
"Por coronavirus, llaman a bancos a impulsar servicios digitales",0
Covid CDMX. “Somos como un pueblo fantasma”,1
Coronavirus “ataca” en Zoológico del Bronx y tigresa “Nadia” da positivo,1
Japón evacua a 200 de sus ciudadanos en Wuhan por coronavirus,0
Mujer vence al cáncer tres veces y vende su casa para viajar con su gato; conmovedora historia se hace viral,1
"Covid-19 me dejó exhausta, esta pandemia es horrorosa: Reina Isabel II",1
Brasil pide uso de cubrebocas en vuelos para evitar contagios de viruela del mono,1
Instalan en Cancún comité para enfrentar el Covid-19,0
"IPN confirma enfermedad respiratoria de profesor que viajó a Wuhan, China",0
Tamaulipas carece de hospitales para atender problemas psicológicos,0
Caos y desorganización se registra en la vacunación contra Covid-19 en WTC,1
Polonia pide cumplir restricciones contra el Covid-19 ante alarmante repunte de casos,1
Italia pondrá en cuarentena a varias ciudades como Milán o Venecia por Covid-19,1
Sube amenaza por coronavirus,1
OMS bautiza al nuevo coronavirus de Wuhan como “Covid-19”,0
EU confirma primer caso de la viruela del mono en viajero proveniente de Canadá,0
EU suma 140 mil casos de covid-19 en un día; expertos temen tercera ola de la pandemia,1
Investigan brote de coronavirus en asilo de Saltillo,0
España podrá evitar segundo confinamiento por Covid-19: OMS,1
"Robert Pattinson da positivo a covid-19; rodaje de 'The Batman', suspendido otra vez",0
Poblanos comienzan a realizar compras de pánico ante el coronavirus,1
Comerciantes de Torreón alertas ante posible caso de coronavirus en México,1
Recibe Coahuila dos cargamentos con un total de 17 mil 550 vacunas contra el Covid-19,0
"Para evitar contagios de Covid en el Senado, Monreal urge acuerdo para sesionar a distancia",1
"""No me vacuné por miedo e ignorancia"", el Covid alcanzó a Tere",1
Intensifican acciones contra el mosquito del dengue en 25 colonias de León,0
Rectifican y aceptan en México arribo de crucero rechazado en Jamaica por temor a coronavirus,1
CdMx rebasa las 8 mil muertes por coronavirus,0
"El 93.2% de las empresas en México, afectadas por Covid-19",0
Las enfermedades que causaron alarma mundial antes del coronavirus en China,1
¡Abajo el telón! Teatros 'fantasma' en Los Ángeles por la pandemia,1
Acordona espacios públicos en Xochimilco para evitar propagación del Covid-19 ,0
Pandemia y deudas infectan a los estados,1
Ponen módulo para informar sobre el coronavirus en Aeropuerto de Toluca,0
"Mayores de 60 años y con problemas de salud, el perfil de los muertos por coronavirus",1
IMSS lanza curso en línea para prevenir casos de coronavirus,0
India rompe récord mundial de contagios diarios de covid-19 con 315 mil infectados,1
Primer muerto en Shanghái por coronavirus,1
China acusa a EU de crear pánico por el coronavirus,1
Alas por México inicia apoyo emocional a afectados por problemas ante covid-19,0
Brote de Covid-19 en convento de Veracruz deja un muerto y seis infectados,1
“Con el coronavirus tengo derecho al miedo”: Ángeles Mastretta,1
"""Se fortalecerán las familias, las que sobrevivan"": Delegado de BC se burla de emergencia de Covid-19",1
"OMS recomienda el uso de la primera vacuna contra la malaria para niños, RTS,S",0
Bélgica ordena cuarentena obligatoria para contagiados de viruela del mono; es el primer país en hacerlo,1
Van 4 días con tendencia a la baja en hospitalizaciones por covid-19: Sheinbaum,0
Trump advierte que pandemia por Covid-19 “va a empeorar”,1
La restricción a vender comida chatarra: sólo un paso más en la dirección correcta para combatir la obesidad,0
Covid-19 manda a la economía a terapia intensiva,1
Estado por estado: así marcha el Semáforo sanitario en México,0
Andrea Legarreta 'explota' contra 'haters' por relacionarla con coronavirus,1
IMSS Puebla da de alta a doctora internada dos meses y medio por covid-19,0
IMSS fortalece medidas de prevención en grupos vulnerables por Covid-19,1
"Deuda agrava ""zombificación"" de empresas ante Covid-19: IIF",1
Senado llamará a secretario de Salud para que explique el plan contra coronavirus,1
"Petróleo cae, mercado evalúa impacto del coronavirus en la demanda",0
"Contagios, películas de zombies y epidemias: ¿por qué los virus dan tanto miedo?",1
Realizan compras de pánico en Veracruz por coronavirus,1
Instalan 20 módulos de pruebas Covid-19 en Edomex,0
Tamaulipas en alerta por los 30 contagios de coronavirus en Texas,1
Desinfectan centro de Lerdo ante casos de coronavirus en La Laguna,0
Covid- 19 deja vestidos y alborotados a participantes de carnaval de Río de Janeiro,1
NBA suspende la temporada regular por el coronavirus,0
"El pico del contagio; el país surrealista; allanan hospital, descubren cadáveres; dicen que coronavirus no existe: CCM",1
Estado de México es tercer lugar a nivel nacional en casos por depresión,0
"¿Japón, libre de Covid-19? Anuncian fin del estado de emergencia",1
Bolsa mexicana cae casi mil puntos 'infectada' por coronavirus,1
Economía mexicana ya estaba enferma cuando Covid-19 la 'contagió': IDIC,1
Sedena abre convocatoria para médicos y enfermeras por coronavirus,0
Expertos orientan a jóvenes para evitar contagio de covid-19 por sexo oral,1
"Reino Unido, el primer país en administrar vacuna Covid de AstraZeneca",0
Japón confirma primer caso de infección por coronavirus chino ,1
Atlas llega a Torreón y toma precauciones por coronavirus,0
Advierten que temporada de lluvias en Yucatán aumenta el riesgo de contraer dengue,1
Bolsa mexicana gana ante menor temor sobre virus de China,1
Coronavirus Puebla: Casos confirmados de Covid-19 al 14 de mayo,0
Covid-19 potencia riesgo de desarrollar diabetes,1
Cómo lavarse las manos correctamente: OMS,0
Italia regresa a confinamiento ante nueva ola de contagios de Covid-19,1
"Exige REDIM que niñas, niños y adolescentes sean vacunados para un regreso a clases seguro",0
Aumentó el número de infectados por coronavirus a 403,1
"Primera ola de Covid-19 no ha terminado, advierte OMS",0
"Si salimos, podemos morir de covid-19; pero si no, morimos de hambre: ambulante",1
Fallece obispo de Aguascalientes por covid-19,0
Hablarán de coronavirus en Congreso Internacional de Medicina de FMUAC,0
Bajan 25% las personas hospitalizadas por covid-19 en septiembre,0
Alerta Nuevo León sobre riesgo de importar Covid desde Texas,1
"Pandemia y pobreza ""despintan"" sonrisas a familia de payasos en Edomex",1
"Banco de Inglaterra ve respuesta global ""poderosa y oportuna"" al coronavirus",1
Difunden medidas de atención para personas con discapacidad ante Covid-19,0
Ponen en cuarentena obligatoria a más de 16 millones de personas en Italia por coronavirus,1
El coronavirus llegará en el peor momento para la 4T y la sociedad,1
En Aguascalientes 85 trabajadores de salud infectados 40 son médicos,1
Instalan hospital Covid-19 para migrantes en Matamoros,0
¿Dónde está siendo más intensa la pandemia?,1
Brasil autoriza retomar ensayos de vacuna china CoronaVac contra el Covid-19 ,0
¿Stephen Curry con posible contagio de coronavirus?,1
Estados Unidos supera las 202 millones de dosis de la vacuna contra Covid-19 aplicadas,0
Italia bate de nuevo récord de muertos por coronavirus: casi 800 en 24 horas,1
Alertan que la enfermedad covid-19 daña el corazón incluso en pacientes jóvenes,1
Nueva York pone fin a estado de emergencia ante reducción de casos de Covid-19,0
Nueva York luce desierta ante crisis de coronavirus en el mundo,1
"Kim Jong-un alerta de un ""grave incidente"" relacionado con el Covid-19 en Corea del Norte",1
Amazon podría ser la heroína de la pandemia por Coronavirus,1
Argentina y México elaborarán vacuna contra el Covid en AL,0
Beijing cierra escuelas en un intento por contener brote de Covid-19,0
Se reúnen autoridades ante emergencia de Coronavirus,1
Aseguran que hay más de 36 mil muertos por Covid-19 en Reino Unido,1
Identifican a mujer como “super contagiador” de coronavirus en Corea del Sur,1
Científicos hallan medicamento para combatir infección por Covid-19,1
"Clínica de Autismo de CdMx, única unidad publica de Latinoamérica, destaca Sedesa",0
"Por coronavirus, mexicano busca salir de Wuhan;""prefiero estar vivo""",1
Bolsonaro arremete contra la prensa tras ser cuestionado por pandemia de covid en Brasil,1
Partido del PSG se suspende por casos de coronavirus,0
¿Será el fin de la pandemia? OMS asegura que Europa vive una tregua con el Covid,1
"Coronavirus podría causar un síndrome raro y peligroso en los niños, advierten médicos",1
La crisis por Covid-19 incrementa los trastornos mentales,1
Ebrard anuncia red de América Latina para investigar coronavirus,0
"¡Qué dolor! Abuelita manda mensajes a su hijo muerto por covid, historia se hace viral ",1
Coronavirus sacude mercados financieros y genera temor en economía mundial,1
"Tras cerrar por coronavirus, Museo de Louvre reabre sus puertas",0
Coronavirus y el castigo de Dios,1
Lo que sabemos sobre el misterioso coronavirus chino,1
"Alertan por dengue en Puebla, lluvias lo acrecentará",1
Nueva York no contabilizó miles de muertos por Covid-19 en residencias de ancianos,1
"Coronavirus. ""Lo peor es la tos incontrolable"": el testimonio de un paciente que se recupera del Covid-19",1
Diputados piden fortalecer medidas para detectar casos de coronavirus en México,0
"Contagio y películas de zombies, ¿por qué los virus dan miedo?",1
China reporta 17 nuevos casos de extraño brote de neumonía,1
Inicia campaña nacional de vacunación contra influenza,0
Parecía el Apocalipsis zombie: tampiqueño que regresó de China por coronavirus,1
Michoacán activa protocolos por probable caso de coronavirus,0
"Hemos hecho de todo para salvar vidas, dice AMLO sobre lucha contra coronavirus",0
"Si 60 mil eran una “catástrofe”, ¿qué son los 100 mil muertos de hoy?",1
"Tras rebrote de coronavirus, sanitizan negocios en Monterrey",0
"Por covid-19, no habrá celebración a la Virgen el 11 y 12 de diciembre en la Basílica",0
Mexicanos en Wuhan están en buen estado de salud: SRE,0
Aerolíneas perderán más de 29 mil mdd por coronavirus,1
AMLO descarta afectaciones en la economía nacional por coronavirus,0
Analizan en NL 23 casos sospechosos de coronavirus,0
Realiza Iztapalapa pruebas de detección del VIH gratuitas,0
¿Qué riesgos corres si contraes Covid? IMSS presenta su calculadora,1
¡En tiempo récord! Tec crea el primer ventilador mexicano para enfrentar Covid-19,1
Embajada de México en China descarta mexicanos afectados por coronavirus,0
Destinarán 300 mdp para atender emergencia del coronavirus en Edomex,1
"Trastorno de estrés postraumático, corresponsal de guerra narra como es vivir con el padecimiento",0
"Inminente tercera ola Covid y con 2,200 mdp menos para la emergencia sanitaria",1
"En Michoacán, reportan primera donación de plasma para coronavirus",0
Catador de Whisky se confina por miedo a perder el olfato y el gusto por Covid,1
"Estados Unidos, con “inquietante” alza de contagios por Covid-19",1
"Presidente de Lombardía, Italia, se pone en cuarentena por coronavirus",1
"Si yo no fuera presidente, México sería un caos, estaría destrozado y habría más muertos por Covid",1
"Éstas son las diferencias entre dengue, alergia, influenza y covid-19",0
"Segunda ola de contagios de Covid-19 en China es inevitable, dice experto",1
Cubrebocas sí funcionan contra coronavirus: Samuel,1
"Por miedo a los contagios, mexicanos utilizan menos efectivo",1
Pearl Jam y Madonna posponen conciertos por coronavirus,0
Expertos alertan a la población sobre síntomas de la depresión,1
"Por coronavirus, Inter vs Ludogorets se jugará a puerta cerrada",0
Las últimas noticias sobre la epidemia de coronavirus COVID-19,1
"Pese alerta por Coronavirus, León continuará con su agenda turística",1
Tras positivo a Covid-19 Trump inicia terapia con Remdesivir,0
Autoridades sanitarias confirman 12 casos de viruela del mono en EU,0
Día 1 de nueva normalidad y México supera los 10 mil muertos por Covid-19,1
"Niega Grupo Modelo brote de Covid-19 en sus instalaciones de Ometepec, Guerrero",0
Bolsa mexicana cae ante riesgos por coronavirus; Apple arrastra a Wall Street,1
Las medidas de China para impulsar la economía tras el brote de coronavirus,0
Confirman caso del primer colombiano con coronavirus en crucero de Japón,0
"Alerta diputado, Lobo Román, de “caos testamentario” en la CDMX, por el Covid-19",1
"El deporte en China, en alerta por coronavirus",1
Aumentan problemas de ansiedad en los niños,0
Asumirá Edomex la vacunación para evitar caos como en Ecatepec,1
Llega a 38 el número médicos y enfermeras con Covid-19 en Sonora,0
Fórmula 1 suspende el Gran Premio de China por Coronavirus,0
"OMS: aumento en casos de covid-19 es por conducta humana, no por nueva cepa",0
Expertos de la UNAM luchan por erradicar el VIH por transmisión perinatal,0
"Arizona ordena cerrar bares, gimnasios y cines ante repunte de casos de Covid",0
Detectan nuevo caso sospechoso de coronavirus en la CDMX,0
"Entre temor por coronavirus, estudiantes chinos regresan a clases",1
Registran 98 contagios y 5 muertos por covid-19,1
"A salvo de coronavirus, estudiantes yucatecos de intercambio en China",0
"Especialista alerta por ""fake news"" sobre Covid",1
Aumentan casos de Covid tras Semana Santa,0
"Cómo los científicos resolvieron el misterio de una poción que “creaba zombis"" en Haití",1
Óscar de la Hoya es hospitalizado tras dar positivo a Covid-19,0
Turquía anuncia su vacuna ERUCOV-VAC contra el Covid-19 ,0
"Corea del Sur, en alerta máxima por coronavirus",1
Han muerto 170 trabajadores del IMSS por coronavirus,0
"Barack Obama, expresidente de EU, da positivo a Covid-19",0
Guerrillas de Colombia imponen brutal confinamiento,1
Universidad de Querétaro hace colecta para desarrollar vacuna contra covid-19,0
China enfrenta su peor brote de Covid-19 desde el inicio de la pandemia,1
Alertan a Europa por alza en problemas de salud mental ante restricciones por covid-19,1
Italia anuncia nuevas restricciones por segunda ola de Covid-19,0
Identifican anticoagulante que podría frenar entrada de Covid-19 en células,0
Alertan por aumento de depresión por aislamiento ante contingencia,1
Presentan guía para proteger a personas con discapacidad del covid-19,0
Nuevo récord mundial de contagios por Covid-19: al menos 657 mil en 24 horas,1
Aumentan 10.8% casos positivos de Covid-19,0
Ninguna persona en situación de calle ha fallecido a causa de Covid-19: Bienestar,0
Congo anuncia oficialmente el final de brote de ébola,0
IMSS aplica protocolo para detectar covid-19 en transplante de órganos,0
Sheinbaum llama a jóvenes a seguir medidas sanitarias ante alza de casos de covid-19,0
Así se ve el coronavirus en un microscopio,0
"París, en alerta máxima por rebrote de Covid-19, cierra sus bares",1
Resultan positivas 17% de las 3 mil pruebas rápidas de Covid-19 en Nezahualcóyotl,0
"Natalia Téllez habla de la depresión post parto que enfrenta: ""infierno, miedo y el terror más profundo""",1
Intensifican fumigaciones ante avance de casos de dengue en Tehuacán,0
Estados reforzarán seguridad durante contingencia de Covid-19,0
"Ante covid-19, anuncian nuevo cierre de plazas, restaurantes y cines en Nuevo León",0
Riesgo de pandemia por coronavirus se volvió muy real: OMS,1
Dan de alta a primer paciente por coronavirus en México,0
Hay más de 3 mil muertos por Coronavirus; en Italia y Corea del Sur se disparan contagios,1
Comida escasea y el contagio es rápido en China: mexicana en cuarentena,1
EU vive pandemia de huérfanos por Covid-19,1
"¿Miedo excesivo a contraer Covid-19? Podría tratarse de ""coronafobia""",1
Pandemia duplicó depresión entre los mexicanos,1
Repunte de casos en varios estados de EU genera dudas sobre reapertura,0
Estudiantes provenientes de China están sanos: Salud de Guanajuato,0
"Covid-19, la pandemia que nos acercó más a la muerte",1
Inician vacunación contra Covid-19 en asilos de Monterrey,0
Temor al coronavirus reduce detección de sida en Tamaulipas,1
Senador entrega cubrebocas y gel antibacterial tras casos de coronavirus en México,0
"¿Qué es la ""Enfermedad X""? Experta de la OMS explica la posible amenaza mundial",1
Reportan 41 pacientes con coronavirus en México; hay 155 casos sospechosos,0
Elementos de policía de León dan positivo a coronavirus,0
"Por aumento de casos de covid-19, Planetarium Torreón cierra de nueva cuenta",0
Alerta OPS por aumento de casos de Covid-19 en estados turísticos de México,1
"Golpean brutalmente a mujer china en el metro de NY ""por tener coronavirus""",1
"Epidemia empeorará antes que haya una mejora, advierte Trump",1
Mujer vendía antibacterial que quema las manos en plena crisis por coronavirus,1
"Por coronavirus en México, hay compras de pánico de cubrebocas",1
Descartan alerta por lepra en el país,1
Reino Unido alista veto de vuelos provenientes de Sudáfrica por nueva variante de Covid-19,0
Preocupa paso acelerado de contagios de coronavirus en China,1
"Llega México a 15,357 muertes por Covid-19 y 129 mil casos confirmados",0
Moderna solicitará autorización para su vacuna contra Covid en EU y Europa,0
¿Qué tan grave es la viruela del mono? La enfermedad que preocupa a la OMS,1
Oficial: los Juegos Olímpicos se suspenden por coronavirus,0
Italia suspende cuatro partidos de la Serie A por coronavirus,0
Aeropuerto de Querétaro instalará cámara termográfica por coronavirus,0
"Pese a rebrote, Trump minimiza la pandemia",1
Edomex suma 41 nuevos casos y nueve muertes por covid en las últimas 24 horas,0
Algunos de los aspectos más preocupantes del virus de Wuhan,1
"Por coronavirus, en NL reforzarán filtros en aeropuertos",0
Estudiantes regalan alcancía llena a su maestra: su hijo enfrenta al cáncer,1
Suspenden eventos masivos en Oaxaca por coronavirus,0
"Julián Gil revela que fue diagnosticado con cáncer de piel: ""abusé mucho del Sol""",0
Vacunan vs covid al primer niño con cáncer,0
Confirman primer fallecimiento por virus de Marburgo; OMS emite alerta de transmisión,1
"Crisis por Covid-19 aumentará pobreza y desigualdad, afirman",1
"Por coronavirus, aerolíneas podrían perder hasta 113 mil mdd",0
Ssa reporta tres nuevos casos sospechosos de coronavirus en Jalisco,0
Elevan a 131 las muertes por coronavirus de Wuhan en China,0
"El mundo, esperanzado tras el anuncio de una vacuna contra el Covid-19",1
"En menos de 5 meses, variante Delta de covid pasó de 99 casos a más de 7 mil en México",0
"Coronavirus amenaza la frágil recuperación global, advierte el FMI",1
Confirma Secretaría de Salud cinco casos de Covid-19 en el país,0
En nueve meses se detectó 236 posibles casos de cáncer en mujeres: Sedesa,0
Partos en medio de la pandemia y la escasa atención por pacientes covid-19,1
Muertes por coronavirus llegan a 6 mil en el mundo; toman medidas radicales,1
El ritual para un simple corte de pelo en China en tiempos de coronavirus,1
"Por coronavirus, podrás cancelar tu reservación de Airbnb sin cargos",0
No tengo problema en hacerme la prueba del coronavirus: Trump,0
El G7 tratará en reunión respuesta al coronavirus,0
Asociación reparte cubrebocas y gel antibacterial a población vulnerable,0
Tras discusión mujer acusa a novio de tener coronavirus,1
Singapur confirma su primera caso de neumonía de Wuhan,0
Sube a 156 cifra de infectados de coronavirus en Corea del Sur,1
Suma Jalisco más de 223 mil casos positivos de coronavirus,0
"Pruebas de laboratorio descartan coronavirus en crucero, que continúa en Cozumel",0
La Sagrada Familia para obras y cancela visitas por coronavirus,0
Italia suspende el Carnaval de Venecia por coronavirus,0
"Suman 3 muertos tras ""inusitado"" aumento de casos de dengue en Bolivia",1
"Revive Quintana Roo tras ""coma"" por Covid",1
Identifican nueva cepa de zika; puede causar otra epidemia en Brasil,1
Prueba portátil de covid-19 desarrollada por Visby recibe aprobación de la FDA,0
Temas de la conferencia del coronavirus en México del 4 de junio,0
OPS alerta de aumento en tasa de mortalidad por covid-19 en áreas de México,1
Estudio alerta sobre reacciones cutáneas a la vacuna de Moderna contra el Covid-19,1
Muere el director del hospital principal de Wuhan por coronavirus,0
[Video] Funeraria lanza fuerte mensaje para quienes no respetan la cuarentena,1
Reino Unido debe protegerse ante amenaza de segundo brote de Covid-19: Boris Johnson,1
Se infectan shows en México y el mundo,1
Me contagie de Covid-19 en la línea de batalla,1
OMS decide no declarar emergencia internacional por coronavirus,0
México acumula casi medio millón de contagios de Covid-19,1
Hay caos en aerolíneas por cambio de vuelos ante coronavirus,1
Consejero de Seguridad Nacional de Trump da positivo a Covid-19,0
Listos dos hospitales de Semar para pacientes con coronavirus,0
Ómicron parece tener un mayor riesgo de reinfección por Covid-19: expertos de Sudáfrica,1
Fuerzas armadas reportan muerte de 5 elementos por covid-19,0
"""Preferimos morir en casa que entrar en cuarentena por coronavirus""",1
¿Quiénes son más susceptibles a contraer coronavirus?,0
"La arriesgada ""nueva normalidad"" en Chile para retomar actividades en medio de la pandemia",1
Sufren mercados contagio de miedo por coronavirus,1
El coronavirus amenaza con agudizar la hambruna en el mundo,1
"AMLO pide calma, pero sus senadores se apanican",1
"Estrategia contra coronavirus no es impedir entrada, sino contenerlo: Ssa",0
Atención temporal de Covid en el Autódromo Hermanos Rodríguez se amplía hasta agosto,0
Confirman primer caso de coronavirus de China en EU,0
China erradica la malaria tras 70 años de combatirla; la OMS celebra logro,0
Aumenta el miedo a contagiarse de covid-19 en Torreón,1
Rusia recibe nueva aprobación para ensayos en la India de vacuna contra covid-19,0
"En Chiapas, realizan fiestas y disparos al aire en plena emergencia por coronavirus",1
Declara Gobierno Federal el inicio de la Fase 3 del Coronavirus en México,0
El día en que China discriminó a mexicanos por influenza H1N1,1
"En BCS, detectan caso de coronavirus y dengue en niña de 7 años",0
Merck anuncia que su pastilla anti Covid-19 reduce riesgo de muerte en 50%,1
Alertan especialistas que hasta el 10% de vacunados esta desprotegido contra el Covid-19,1
¿La cuarentena durará hasta agosto?,1
Pasan 16 estados a semáforo naranja,0
Pandemias,1
"El coronavirus ha mutado, alerta la OMS",1
"Ante el Covid-19, gobierno de CDMX entregará apoyo alimentario a un millón 200 mil estudiantes",0
AMLO avizora crisis económica ante pandemia por coronavirus,1
China informa de primera muerte por coronavirus fuera de la provincia de Hubei,0
Medirán respuesta de mexicanos al covid-19,0
La desaceleración de muertos por covid-19 puede no ser lo que parece,1
"OMS lanza nuevo plan global contra el zika, el dengue y otros arbovirus",0
Coronavirus y crisis económica: tiempo para estadistas,1
Hospitalizan a Armando Manzanero por Covid-19,0
Altamira también pasa a color naranja en semáforo de covid-19,0
Municipio de León niega haber ocultado brote de Covid-19 en dependencia,0
Merle Uribe tiene miedo de vacunarse contra el Covid-19,1
Advierte embajada mexicana restricciones para viajar a Israel por coronavirus,0
"Entre desesperación y miedo por coronavirus, así duerme personal médico en Los Pinos",1
"Aislamiento, sociedad y pandemia",1
"Vacuna cubana contra covid-19, Soberana 02, termina última fase de ensayos clínicos",0
Jamaica rechaza crucero por sospecha de coronavirus; se dirige a México,0
"Temor, depresión y ansiedad, la vida en el Sector Salud mexiquense en pandemia",1
"Al alza, amenaza por nuevo coronavirus; hay más casos",1
SSa llama a no discriminar a personas asiáticas por coronavirus,0
Lavar ropa y evitar contacto cercano: éstas son las recomendaciones de la Ssa ante viruela del mono en México,0
Coronavirus debilitaría aún más crecimiento del comercio global: OMC,0
"""Mi miedo es que no funcione"", así es la experiencia de voluntarios a vacuna Covid-19",1
¿Por qué la variante británica del coronavirus podría ser más mortal?,1
Museos de Londres preparan colección sobre el Covid-19,0
Gobierno de Chimalhuacán pone en funcionamiento Centro Covid-Tel,0
México suma 26 casos positivos de coronavirus,0
"¿Un pulpo, la cura contra el cáncer? Estudiante de Hermosillo podría haber encontrado una solución",1
"""Si no salimos, nos vamos a volver locos"", dicen ciudadanos que desafían la cuarentena",1
"El coronavirus se propaga a través del drenaje, asegura experto",1
"Depresión invernal, un factor de riesgo para caer en adicciones: especialistas",1
Facebook cancela conferencia de desarrolladores 'F8' por temor a coronavirus,1
Más de 100 contagios por covid-19 en Tribunal de Justicia y dos muertes en Coahuila,1
"Trump lleva más de 24 horas sin síntomas de covid-19, informa su médico",0
"OMS ha declarado 5 emergencias globales, ¿El coronavirus será la próxima?",1
"Por epidemia de coronavirus, se puede experimentar miedo y ansiedad",1
Reportan a poblano fallecido en EU por Covid-19,0
"""Tengo más miedo de ir al súper que de venir a trabajar"", médica",1
Destruye cuarentena un millón de empleos,1
Orina de vaca; la solución 'mágica' para el coronavirus en la India,1
Crecen angustia y contagios por coronavirus en el Diamond Princess,1
Fundamental incorporar salud mental en acciones contra el alcoholismo: Conadic,0
Crea tu propio gel antibacterial casero,0
EU preocupado por seguridad de vacunas china y rusa contra Covid-19,1
Japón anunció el jueves el cierre de escuelas en todo el país por coronavirus,0
México mantiene nivel de riesgo máximo por Covid-19,1
Mejora salud de mexiquense portador de Coronavirus,0
Se mantienen 37 casos positivos por coronavirus en Edomex,0
Aplicarán segunda dosis de vacuna Covid para 40-49 años en 6 alcaldías,0
Tlaxcala pasa a semáforo naranja de covid-19,0
Inicia la desconversión de hospitales híbridos que atendían Covid-19,0
¿Medicamento contra dengue cerca? Hallan inhibidor que podría bloquear el virus,1
"Cierran bares, discotecas y escuelas en estados por coronavirus",0
Desinfectan espacios públicos de Cuernavaca para evitar propagación de coronavirus,0
OMS reporta más de 100 nuevos casos confirmados de Covid-19 en Pekín,0
Tercera ola de Covid estremece a Europa,1
Confirman más de 200 casos de viruela del mono en el mundo: ECDC,0
Hospitales de Italia acumulan montañas de residuos infectados por Covid-19,1
"La pandemia rebasó el sistema de salud, dicen expertos",1
Desabasto de medicamentos para niños con cáncer sigue en Clínica 71: Salvemos Héroes,0
China construye hospital por coronavirus; estará listo el 3 de febrero,0
Descartan caso de nuevo coronavirus en Yucatán,0
Detectan 4 casos de viruela del mono en Londres; no tienen antecedentes de viaje,0
"Mapa covid-19 en México: Seis alcaldías de CdMx, entre municipios con más casos activos",0
España registra repunte de muertos por coronavirus,1
"Por coronavirus, suspenden clasificatorio de boxeo para Tokio 2020",0
Bolsa mexicana cae ante el temor de propagación de virus chino,1
"Jen Psaki, la vocera de la Casa Blanca, da positivo a covid-19",0
Grotesca desigualdad en las vacunas: OMS,1
OMS busca esclarecer casos de viruela del mono detectados en Reino Unido,0
Inminente el regreso de SLP al color naranja del semáforo Covid: gobernador,0
Primer paciente que se curó de VIH en el mundo muere de cáncer,0
China aplaza hasta nuevo aviso comienzo de clases por coronavirus,0
Secretarios de turismo del país ponen en marcha plan preventivo por coronavirus,0
Evitan sanitización en Texcoco por temor a ser rociados con químico mortal,1
Alerta la OMS: Covid-19 se transmite por aire,1
Torre Eiffel reabrirá al público tras la crisis de coronavirus,1
Hospital en Puebla llama a prevenir el cáncer cervicouterino y de mama,0
"Por covid-19, restringen transporte público y ordenan uso de cubrebocas",0
Temen que producciones mexicanas queden con pocos elementos a causa del Covid,1
"OPS lanza comisión de alto nivel para abordar ""crisis de salud mental"" por Covid-19",1
"Con 3 mil 463, México registra un nuevo máximo diario de contagios por Covid-19",1
Estudio revela que algunos sobrevivientes de Covid-19 sufren desórdenes psiquiátricos,1
Expertos advierten más contagios de covid en EU en estados con menor vacunación,1
"Van en aumento los casos de Covid-19 en la CDMX, principalmente en los jóvenes: Sheinbaum",0
Santa Catarina lanza campaña ante 'rumores y miedos' por coronavirus,1
En Malasia se eleva a 7 cifra de infectados por coronavirus,1
"Apple, Google y Facebook cierran en China por coronavirus",0
"Chile cuenta a los muertos por coronavirus como ""casos recuperados""",1
Lunes negro en las bolsas mundiales por la caída de petróleo y temor al coronavirus,1
Merkel empuja a Europa frente a la pandemia del Covid-19,1
"Por coronavirus, Fórmula E suspende parada en China",0
¿Trump enfermo? El presidente cumple 74 años y niega estar mal físicamente,1
Comercios de comida 'sobreviven' a coronavirus en Centro Histórico de CdMx,1
Autoridades sanitarias confirman nuevo caso de ébola en noroeste del Congo,0
Aumenta número de casos de coronavirus fuera de China,0
CDMX permanece con alto contagio de la enfermedad Covid-19,1
¿Cómo se transmite y cuál es el tratamiento? Mitos y realidades sobre el VIH y Sida,0
"Por coronavirus, Guatemala instala oficina en aeropuerto para vigilar epidemia",1
"Con largas filas y caos vial, continúa vacunación anti Covid en Ciudad Victoria",1
China cambia pruebas de diagnóstico del coronavirus,0
"Ante alerta de coronavirus en México, se agotan cubrebocas en Torreón",1
El Covid es más destructivo que el tsunami en Tailandia,1
Paty Navidad afirma que 'élite oscura' creó el coronavirus para controlar a las masas,1
Laboratorios privados de La Laguna donarán pruebas para detectar covid-19,0
Temas de la conferencia sobre el coronavirus en México del 28 de noviembre,0
La mayoría de aseguradoras en México sí cubren coronavirus: AMIS,0
"Ssa pide mantener medidas contra covid-19, aún cuando hayan sido vacunados",0
Acciones de aerolíneas caen por temor a coronavirus de China,1
"En plena pandemia, permiten ingreso de creyentes de San Judas Tadeo a iglesia de San Hipólito",1
"Posible caso de coronavirus en Reynosa, se confirmará el sábado: Salud Tamaulipas",0
Coronavirus los revive,1
FDA autoriza uso de plasma sanguíneo para tratar el Covid-19 en EU,0
40 años de sida en el mundo,0
En mayo se aplicaría vacuna anticovid a personal educativo: AMLO,0
Italia cierra todas las escuelas hasta el 15 de marzo por el coronavirus,0
Van siete alcaldes poblanos fallecidos por coronavirus,0
Alcalde de Miami da positivo a coronavirus tras reunirse con comitiva de Jair Bolsonaro,0
Australia reporta su primer día sin muertes por covid-19 en dos meses,0
Se desploman bolsas de valores y se disparan dólar y oro por temor al coronavirus,1
"Crisis económica por coronavirus, “la hora más oscura de la humanidad”: FMI",1
Guadalajara clausura 19 establecimientos más por no respetar medidas ante covid-19,0
"Ante enfermedad, “se durmieron” en Alemania",1
Preocupante el desabasto de medicinas en México en plena pandemia,1
